,Complaint Number,Complaint Location Address,Complaint Location City,Complaint Location Zip Code,Vehicle or Stationary,Air Complaint Source Info,Date and Time of Occurrence
2408,COMP‐40481,1325 East Calaveras Boulevard,Milpitas,95035,Stationary Source,Odors,10/17/2018 12:00
2409,COMP‐40482,nan,Milpitas,95035,nan,nan,10/16/2018 11:00
2410,COMP‐40483,12220 5th Street,Yucaipa,92399,Stationary Source,Odors,10/9/2018 3:00
2411,COMP‐40484,nan,Milpitas,95035,Stationary Source,Odors,10/18/2018 9:30
2412,COMP‐40485,nan,Milpitas,95035,nan,nan,10/18/2018 12:25
2413,COMP‐40488,881 Water Walk,Milpitas,95035,nan,nan,10/19/2018 3:00
2414,COMP‐40509,320 San Diego Avenue,Daly City,94014,Vehicle,Cars,nan
2415,COMP‐40510,320 San Diego Avenue,Daly City,94014,Vehicle,Cars,nan
2416,COMP‐40526,nan,Pittsburg,94565,nan,nan,nan
2417,COMP‐40527,nan,Perris,nan,Stationary Source,nan,nan
2418,COMP‐40528,775 Seaport Boulevard,Redwood City,94063,Stationary Source,Odors,nan
2419,COMP‐40529,25000 Industrial Boulevard,Hayward,94545,Vehicle,Trucks,nan
2420,COMP‐40532,2225 16th Street,Sacramento,95818,Stationary Source,Gas Stations,nan
2421,COMP‐40534,4100 Donald Douglas Drive,Long Beach,90806,Vehicle,Other Vehicles,10/23/2018 17:00
2422,COMP‐40536,915 Cameron Circle,Milpitas,95035,nan,nan,10/24/2018 11:25
2423,COMP‐40539,nan,BAY AREA,nan,Vehicle,Other Vehicles,nan
2424,COMP‐40545,701 Kings Row,San Jose,95112,nan,nan,10/25/2018 17:00
2425,COMP‐40547,456 South Mathews Street,Los Angeles,90033,Stationary Source,Asbestos,nan
2426,COMP‐40553,nan,Huntington Park,90255,nan,nan,10/26/2018 2:00
2427,COMP‐40554,2192 Beech Circle,San Jose,95131,Stationary Source,Odors,10/27/2018 4:00
2428,COMP‐40557,466 East Sacramento Avenue,Chico,95926,nan,nan,10/28/2018 7:46
2429,COMP‐40559,3009 Coach Lite Drive,Chico,95973,nan,nan,10/28/2018 7:00
2430,COMP‐40561,1645 Parkway Drive,Crescent City,95531,Stationary Source,Other Stationary Sources,nan
2431,COMP‐40566,23200 Avenue 17,Madera,93637,Vehicle,Other Vehicles,10/25/2018 10:30
2432,COMP‐40567,1645 Parkway Dr,Crescent City,95531,Stationary Source,Other Stationary Sources,nan
2433,COMP‐40568,1155 Betteravia Road,Santa Maria,93454,Stationary Source,Gas Stations,nan
2434,COMP‐40569,nan,Concord,nan,Stationary Source,Odors,10/20/2018 12:00
2435,COMP‐40570,nan,nan,nan,Stationary Source,Odors,10/20/2018 12:00
2436,COMP‐40571,nan,nan,nan,Stationary Source,Odors,10/20/2018 12:00
2437,COMP‐40572,nan,nan,nan,Stationary Source,Odors,10/20/2018 12:00
