,Complaint Number,Complaint Location Address,Complaint Location City,Complaint Location Zip Code,Vehicle or Stationary,Air Complaint Source Info,Date and Time of Occurrence
0,COMP‐08187,118 fwy traveling west near tampa,Los Angeles,91326,Vehicle,Trucks,4/19/2016 9:31
1,COMP‐08255,4837 Mendota Ave,Los Angeles,90042,Stationary Source,Painting,4/20/2016 17:00
2,COMP‐08308,2010‐2012 F Street,Sacramento,95811,Stationary Source,Dust,nan
3,COMP‐08319,Mesa Drive,Blythe,92225,Stationary Source,Dust,4/22/2016 17:00
4,COMP‐08329,Aliso Canyon Facility (near Rinaldi / Sesnon ),Los Angeles,91326,nan,nan,10/22/2015 17:00
5,COMP‐08340,nan,California City,nan,Stationary Source,Dust,4/23/2016 9:00
6,COMP‐08348,581 N Marshall Ave,El Cajon,92020,Stationary Source,Odors,4/17/2016 17:00
7,COMP‐08425,812 9th Street,Sacramento,95814,nan,nan,4/26/2016 17:00
8,COMP‐08429,nan,Los Angeles,90272,nan,nan,2/14/2016 13:57
9,COMP‐08433,nan,Culver City,nan,nan,nan,4/27/2016 17:00
10,COMP‐08437,nan,Arnold,95223,Stationary Source,nan,3/31/2016 17:00
11,COMP‐08439,nan,Winchester,92596,Stationary Source,Dust,4/27/2016 17:00
12,COMP‐08448,nan,Linden,95236,nan,nan,4/25/2016 17:00
13,COMP‐08450,nan,Mokelumne Hill,95245,Stationary Source,Odors,12/31/2015 16:00
14,COMP‐08460,nan,Los Angeles,91316,nan,nan,4/28/2016 17:00
15,COMP‐08469,nan,Redway,95560,Stationary Source,Asbestos,7/14/2014 7:00
16,COMP‐08473,nan,nan,nan,Stationary Source,Other Stationary Sources,4/30/2016 17:00
17,COMP‐08478,1050 N. Mills,Claremont,91711,nan,nan,5/1/2016 17:00
18,COMP‐08484,1316 Canal Blvd,Richmond,94804,nan,nan,nan
19,COMP‐08486,8824 Piedra Way,Fair Oaks,95628,nan,nan,5/1/2016 17:00
20,COMP‐08493,1660 San Luis Rd,Walnut Creek,94597,Stationary Source,Other Stationary Sources,nan
21,COMP‐08496,1580 Sun Valley Road,Solana Beach,92075,Stationary Source,Other Stationary Sources,nan
22,COMP‐08500,544 S Clarence St,Los Angeles,90033,Stationary Source,Odors,nan
23,COMP‐08512,880 Ferrocaril Road,Atascadero,93422,Vehicle,Trucks,5/3/2016 5:00
24,COMP‐08514,782 G Street,Crescent City,95531,Stationary Source,Odors,2/7/2016 16:00
25,COMP‐08532,800 Derr Street,Vallejo,94590,Stationary Source,Dust,5/3/2016 17:00
26,COMP‐08545,Everywhere in the Sky,Oceanside,92058,nan,nan,5/3/2016 17:00
27,COMP‐08555,11261‐11599 Road 256,Porterville,93257,nan,nan,nan
28,COMP‐08558,1604 South Francisco Court,Antioch,94509,Stationary Source,Odors,5/4/2016 17:00
29,COMP‐08586,555 West 189th St.,Gardena,90248,Stationary Source,nan,5/5/2016 13:43
30,COMP‐08590,3198 W 190th St,Torrance,90501,Stationary Source,Other Stationary Sources,5/6/2016 7:21
31,COMP‐08592,3198 West 190th ST,Torrance,90501,Stationary Source,Other Stationary Sources,5/6/2016 7:21
32,COMP‐08594,3198 West 190th ST,Torrance,90501,nan,nan,5/6/2016 17:00
33,COMP‐08596,3300‐3412 W 190th St,Torrance,90504,Stationary Source,Other Stationary Sources,5/6/2016 7:00
34,COMP‐08598,3198 W 190th St,Torrance,90501,Stationary Source,Other Stationary Sources,5/7/2016 9:00
35,COMP‐08600,Crenshaw Blvd,Torrance,90501,Stationary Source,Other Stationary Sources,5/6/2016 17:00
36,COMP‐08602,3105 Onrado Street,Torrance,90503,Stationary Source,Other Stationary Sources,5/6/2016 7:00
37,COMP‐08604,3017 Opal Street,Torrance,90503,Stationary Source,Other Stationary Sources,5/7/2016 11:00
38,COMP‐08606,Crenshaw & Del Amo Blvd,Torrance,90503,Stationary Source,nan,5/6/2016 17:00
39,COMP‐08608,800‐828 Cherokee Trail,Yucca Valley,92284,Stationary Source,Odors,5/5/2016 17:00
40,COMP‐08610,nan,Torrance,nan,nan,nan,5/6/2016 7:00
41,COMP‐08612,3700 W 190th St,Torrance,90504,Stationary Source,Dust,5/5/2016 17:00
42,COMP‐08616,3700 West 190th Street,Torrance,90504,Stationary Source,Dust,5/5/2016 23:00
43,COMP‐08618,3700 W 190th St,Torrance,90504,Stationary Source,Odors,5/5/2016 20:00
44,COMP‐08620,25333 Bani Ave,Lomita,90717,Stationary Source,Other Stationary Sources,5/9/2016 12:00
45,COMP‐08631,8325 Highway 193,Garden Valley,95633,Stationary Source,Odors,nan
46,COMP‐08633,3700 W 190th St,Torrance,90504,Stationary Source,Other Stationary Sources,5/4/2016 23:00
47,COMP‐08635,3700 w 190th,Torrance,90504,Stationary Source,Other Stationary Sources,5/6/2016 8:00
48,COMP‐08637,Exxpn Mobil,Torrance,nan,nan,nan,5/8/2016 17:00
49,COMP‐08639,19047‐19383 Crenshaw Blvd,Torrance,90504,Stationary Source,nan,5/6/2016 8:00
50,COMP‐08641,18401 Burin Ave,Redondo Beach,90278,Stationary Source,Other Stationary Sources,5/8/2016 17:00
51,COMP‐08643,nan,Hermosa Beach,nan,Stationary Source,nan,nan
52,COMP‐08645,17020 Wilkie Ave,Torrance,90504,Stationary Source,Odors,5/9/2016 17:00
53,COMP‐08673,2835 Columbia St,Torrance,90503,Stationary Source,Other Stationary Sources,5/10/2016 6:00
54,COMP‐08675,1010 Ocean Dr,Hermosa Beach,90254,Stationary Source,Other Stationary Sources,5/10/2016 6:30
55,COMP‐08677,3700 W 190th St,Torrance,90504,Stationary Source,Other Stationary Sources,5/9/2016 17:00
56,COMP‐08681,5432 Sara Drive,Torrance,90503,nan,nan,5/10/2016 8:00
57,COMP‐08683,22422 Palos Verdes Boulevard,Torrance,90505,Stationary Source,Other Stationary Sources,5/10/2016 8:00
58,COMP‐08685,nan,Torrance,90504,Stationary Source,Other Stationary Sources,5/10/2016 6:30
59,COMP‐08687,nan,Torrance,90503,nan,nan,5/10/2016 14:10
60,COMP‐08689,nan,Moreno Valley,92551,Stationary Source,Odors,5/9/2016 17:00
61,COMP‐08692,nan,Torrance,90504,Stationary Source,Other Stationary Sources,5/10/2016 3:00
62,COMP‐08696,nan,Brisbane,94005,Stationary Source,Odors,5/10/2016 15:00
63,COMP‐08703,nan,Los Angeles,90024,nan,nan,4/28/2016 9:30
64,COMP‐08710,nan,Los Angeles,90064,Stationary Source,Other Stationary Sources,5/10/2016 17:00
65,COMP‐08712,nan,Torrance,90502,nan,nan,5/11/2016 6:00
66,COMP‐08714,nan,Torrance,90503,Stationary Source,Smoke,5/11/2016 14:00
67,COMP‐08716,nan,Torrance,90503,Stationary Source,Smoke,5/11/2016 13:30
68,COMP‐08718,nan,Torrance,90504,Stationary Source,Smoke,5/11/2016 14:00
69,COMP‐08720,nan,Torrance,90504,nan,nan,5/11/2016 14:25
70,COMP‐08722,300 Plum Street,Capitola,95010,Stationary Source,Dust,nan
71,COMP‐08726,Exxon refinery,Torrance,nan,Stationary Source,Odors,5/11/2016 17:00
72,COMP‐08730,close to Kraemer and Crowther Avenues,Placentia,92870,nan,nan,5/11/2016 17:00
73,COMP‐08737,Dwight D. Eisenhower Hwy,Sacramento,95833,Stationary Source,nan,5/8/2016 17:00
74,COMP‐08749,15818 Mussey Grade Road,Ramona,92065,Stationary Source,Odors,nan
75,COMP‐08753,23706 Victory Boulevard,Los Angeles,91367,nan,nan,nan
76,COMP‐08756,Exon mobile,Torrance,nan,Stationary Source,Smoke,5/12/2016 2:00
77,COMP‐08765,35 Lila Ln,Petaluma,94954,Stationary Source,Other Stationary Sources,5/11/2016 17:00
78,COMP‐08770,nan,Sacramento,95831,Stationary Source,Dust,5/6/2016 4:00
79,COMP‐08775,1001 Schley Avenue,Los Angeles,90744,Stationary Source,Gas Stations,5/12/2016 17:00
80,COMP‐08777,348 W 231st St,Carson,90745,Stationary Source,Odors,5/12/2016 16:00
81,COMP‐08790,4100‐4118 Pima Way,Antelope,95843,Stationary Source,Asbestos,11/30/2015 16:00
82,COMP‐08805,Newby Landfill Expansion,Fremont,nan,Stationary Source,Odors,5/15/2016 17:00
83,COMP‐08831,83946 Fiesta Rd,Coachella,92236,Stationary Source,Dust,5/17/2016 0:30
84,COMP‐08837,8642 Elder Creek Rd,Sacramento,95828,Stationary Source,Dust,nan
85,COMP‐08844,4622 Toucan St,Torrance,90503,Stationary Source,Dust,5/17/2016 3:00
86,COMP‐08852,4563 E Valley Blvd,Los Angeles,90032,Stationary Source,Painting,nan
87,COMP‐08854,4563 E Valley Blvd,Los Angeles,90032,Stationary Source,Painting,nan
88,COMP‐08856,2241 Escalon Avenue,Linden,95236,nan,nan,5/17/2016 15:22
89,COMP‐08859,2226‐2232 Louisa St,Napa,94558,nan,nan,5/17/2016 17:00
90,COMP‐08863,Unnamed Road,San Jose,95125,Vehicle,nan,5/17/2016 17:00
91,COMP‐08867,4565 East Valley Boulevard,Los Angeles,90032,Stationary Source,Painting,nan
92,COMP‐08883,4563 E Valley Blvd,Los Angeles,90032,Stationary Source,Painting,nan
93,COMP‐08907,Prarie Ave.,Torrance,90503,nan,nan,nan
94,COMP‐08920,1111 Golf Ave,Lemoore,93245,Stationary Source,Odors,nan
95,COMP‐08935,2520 17th St,Huntington Beach,92648,Stationary Source,Asbestos,5/24/2016 2:00
96,COMP‐08945,2912 Acresite Street,Los Angeles,90039,Stationary Source,Painting,5/22/2016 8:57
97,COMP‐10121,E. River Rd near Mchenry Ave,Escalon,95320,Stationary Source,Odors,8/4/2016 0:30
98,COMP‐10125,602 adams st,Davis,95616,Stationary Source,Asbestos,8/3/2016 4:00
99,COMP‐10136,15922 Figueroa street,Gardena,90248,Stationary Source,Painting,8/4/2016 5:00
100,COMP‐10147,Lake Isabella Blvd,Lake Isabella,93240,Vehicle,Trucks,8/5/2016 17:00
101,COMP‐10163,8516 Peach Ave,California City,93505,Stationary Source,Asbestos,nan
102,COMP‐10168,1537 Mission Rd,South San Francisco,94080,Stationary Source,Other Stationary Sources,8/8/2016 17:00
103,COMP‐10170,2121 East 25th Street,Vernon,90058,Stationary Source,Dust,8/3/2016 17:00
104,COMP‐10189,1675 Creekside Dr,Folsom,95630,Stationary Source,Odors,8/9/2016 23:30
105,COMP‐10195,4750 Bear River Drive,Rio Oso,95674,Vehicle,Other Vehicles,nan
106,COMP‐10205,648 N 2nd St,Porterville,93257,Stationary Source,Odors,8/10/2016 17:00
107,COMP‐10212,14270 Ave 23 1/2,Chowchilla,93610,nan,nan,8/9/2016 1:00
108,COMP‐10221,2235 1/2 Laverna Ave.,Los Angeles,90041,Stationary Source,Odors,8/11/2016 17:00
109,COMP‐10223,nan,nan,nan,Stationary Source,Other Stationary Sources,nan
110,COMP‐10228,7980‐9298 CA‐76,Pala,92059,Stationary Source,Odors,8/13/2016 17:00
111,COMP‐10260,5522 La Porte Rd,Bangor,95914,Stationary Source,Dust,nan
112,COMP‐10266,2201 E. Washington Blvd.,Los Angeles,90021,Stationary Source,Asbestos,5/24/2016 5:00
113,COMP‐10289,301 12th St,Oakland,94607,nan,nan,nan
114,COMP‐10292,Gardenview,Irvine,92603,Stationary Source,Painting,8/18/2016 17:00
115,COMP‐10297,1255 Nichols Rd,Bay Point,94565,Stationary Source,Smoke,8/18/2016 15:00
116,COMP‐10305,1255 nichols rd,Bay Point,94565,Stationary Source,Odors,8/19/2016 12:00
117,COMP‐10311,1259 Grand View Dr,Chino Hills,91709,Vehicle,Cars,8/20/2016 17:00
118,COMP‐10321,180 Sierra Dr. Suite D,Modesto,95354,Stationary Source,Smoke,8/19/2016 4:00
119,COMP‐10340,690 Center St,Costa Mesa,92627,Stationary Source,Painting,8/22/2016 6:00
120,COMP‐10342,8700 Garvey Ave,Rosemead,91770,Stationary Source,Painting,8/22/2016 13:00
121,COMP‐10348,8608 Fruitridge Rd,Sacramento,95826,nan,nan,8/23/2016 1:00
122,COMP‐10358,841 Green Valley Road and 1870 Ranport Road,Watsonville,95076,Stationary Source,Asbestos,nan
123,COMP‐10367,4324 Illinois Ave,Fair Oaks,95628,Stationary Source,Odors,nan
124,COMP‐10372,5023 N Flood Rd,Linden,95236,Stationary Source,Dust,8/24/2016 17:00
125,COMP‐10385,nan,Torrance,nan,nan,nan,8/24/2016 17:00
126,COMP‐10392,nan,Berkeley,94710,Stationary Source,Dust,nan
127,COMP‐25919,nan,Modesto,95354,Stationary Source,nan,8/22/2017 17:00
128,COMP‐39727,405 freeway,Granada Hills,91344,Vehicle,Trucks,8/10/2018 16:00
129,COMP‐39728,1215 Nestwood Way,Milpitas,95035,Stationary Source,Odors,8/11/2018 13:45
130,COMP‐39730,606 Heath Street,Milpitas,95035,Stationary Source,Odors,8/11/2018 17:00
131,COMP‐39731,226 Casa Linda Drive,Woodland,95695,Vehicle,Trucks,8/11/2018 17:00
132,COMP‐46323,324 West El Segundo Boulevard,El Segundo,90245,Stationary Source,Odors,10/25/2019 13:00
133,COMP‐46328,nan,Rodeo,nan,nan,nan,10/26/2019 0:00
134,COMP‐46329,Vanowen St,Van Nuys,91405,Vehicle,Cars,10/23/2019 17:40
135,COMP‐46332,nan,Vallejo,94591,Stationary Source,Smoke,10/28/2019 0:00
136,COMP‐46333,765 West Rider Street,Perris,92571,Vehicle,Trucks,10/28/2019 0:00
137,COMP‐46334,nan,Morgan Hill,95037,Stationary Source,Dust,10/23/2019 0:00
138,COMP‐46336,nan,Los Angeles,90291,Stationary Source,Dust,nan
139,COMP‐46338,808 Union Street,San Diego,92101,Stationary Source,Other Stationary Sources,nan
140,COMP‐46339,nan,Harbor City,90710,Stationary Source,Odors,nan
141,COMP‐46340,nan,Concord,nan,Stationary Source,Dust,nan
142,COMP‐46341,nan,nan,nan,Stationary Source,Smoke,nan
143,COMP‐46342,1709 California 99,Gridley,95948,Stationary Source,Smoke,nan
144,COMP‐46343,nan,Crockett,94525,Stationary Source,Smoke,nan
145,COMP‐46345,1755 Broadway Street,Fresno,93721,Stationary Source,Other Stationary Sources,5/21/2019 12:00
146,COMP‐46346,100 Van Ness Avenue,San Francisco,94102,Vehicle,Trucks,10/29/2019 0:00
147,COMP‐46349,5540 West 5th Street,Oxnard,93035,Stationary Source,Odors,10/29/2019 14:00
148,COMP‐46350,435 West Center Street Promenade,Anaheim,92805,Vehicle,Trucks,10/29/2019 7:30
149,COMP‐46352,nan,Sacramento,95811,Stationary Source,Dust,10/29/2019 17:20
150,COMP‐46354,4006 East 58th Street,Maywood,90270,Stationary Source,Smoke,nan
151,COMP‐46355,nan,nan,nan,Vehicle,Trucks,nan
152,COMP‐46356,1084 Madrone Lane,Placerville,95667,Stationary Source,Other Stationary Sources,nan
153,COMP‐46359,1941 Woodhaven Court,Merced,95340,Stationary Source,Dust,5/14/2014 0:00
154,COMP‐46362,5008 El Camino Avenue,Carmichael,95608,Stationary Source,Smoke,10/31/2019 0:00
155,COMP‐46363,5008 El Camino Avenue,Carmichael,95608,Stationary Source,Smoke,10/31/2019 8:00
156,COMP‐46365,Hwy88 and hwy49 near martell and Sutter creek,nan,nan,nan,nan,10/31/2019 0:00
157,COMP‐46366,nan,Gardena,nan,Vehicle,Cars,10/30/2019 17:30
158,COMP‐46368,2361 Homestead Circle,Richmond,94806,Stationary Source,Gas Stations,11/1/2019 0:00
159,COMP‐46369,nan,Martinez,94553,Stationary Source,Other Stationary Sources,10/31/2019 0:00
160,COMP‐46371,1420 Calle Margarita,Santa Maria,93458,Stationary Source,Odors,nan
161,COMP‐46374,100 Sunset Avenue,Los Angeles,90291,Stationary Source,Dust,nan
162,COMP‐46375,100 Sunset Avenue,Los Angeles,90291,Stationary Source,Dust,nan
163,COMP‐46376,900 East Franklin Avenue,Pomona,91766,nan,nan,nan
164,COMP‐46377,nan,Adelanto,nan,Stationary Source,Odors,nan
165,COMP‐46382,100 Sunset Avenue,Los Angeles,90291,Stationary Source,Dust,nan
166,COMP‐46384,2029 Alvarado Street,San Leandro,94577,Stationary Source,Painting,nan
167,COMP‐46385,100 Sunset Avenue,Los Angeles,90291,nan,nan,nan
168,COMP‐46389,100 Sunset Avenue,Los Angeles,90291,nan,nan,nan
169,COMP‐46390,4800 East Lincoln Avenue,Fowler,93625,Stationary Source,Odors,nan
170,COMP‐46391,2029 Alvarado Street,San Leandro,94577,Stationary Source,Painting,nan
171,COMP‐46394,100 Sunset Avenue,Los Angeles,90291,nan,nan,11/3/2019 8:29
172,COMP‐46398,nan,Yuba City,nan,Stationary Source,Gas Stations,10/31/2019 21:30
173,COMP‐46399,29541 Stockdale Highway,Bakersfield,93314,Stationary Source,Gas Stations,11/2/2019 12:00
174,COMP‐46400,19733 Sherman Way,Los Angeles,91306,Stationary Source,Painting,11/4/2019 23:00
175,COMP‐46402,nan,Los Alamos,nan,Vehicle,Trucks,11/4/2019 19:00
176,COMP‐46403,Indian Truck Zn Bound I15,Corona,nan,Vehicle,Cars,11/5/2019 8:00
177,COMP‐46407,nan,Los Alamitos,90720,Stationary Source,Odors,11/5/2019 7:35
178,COMP‐46415,nan,Cypress,nan,Stationary Source,Odors,nan
179,COMP‐46419,1117 Woodborough Drive,San Jose,95116,Stationary Source,Smoke,11/5/2019 19:00
180,COMP‐46420,10609 West Goshen Avenue,Visalia,93291,Stationary Source,Dust,nan
181,COMP‐46421,1250 Taylor Street,nan,nan,Stationary Source,Asbestos,nan
182,COMP‐46422,nan,Santa Rosa,nan,Vehicle,Cars,11/5/2019 12:00
183,COMP‐46423,nan,Lucerne Valley,92356,Vehicle,Cars,11/3/2019 16:00
184,COMP‐46424,nan,Bakersfield,nan,Vehicle,Other Vehicles,11/2/2019 12:00
185,COMP‐46425,NB 405 Freeway,nan,nan,Vehicle,Cars,11/1/2019 12:00
186,COMP‐46426,6933 Mammoth Avenue,Los Angeles,91405,Stationary Source,Asbestos,9/5/2019 13:00
187,COMP‐46427,100 Sunset Avenue,Los Angeles,90291,Stationary Source,Dust,nan
188,COMP‐46431,nan,Loyalton,96118,Stationary Source,Other Stationary Sources,nan
189,COMP‐46432,nan,Seal Beach,nan,Stationary Source,Odors,nan
190,COMP‐46433,nan,Truckee,96161,Vehicle,Cars,11/5/2019 18:00
191,COMP‐46436,nan,Jurupa Valley,92509,Vehicle,Trucks,nan
192,COMP‐46437,nan,Upland,91786,Stationary Source,Other Stationary Sources,nan
193,COMP‐46444,nan,Hanford,93230,Stationary Source,Gas Stations,nan
194,COMP‐46446,2570 East Walnut Street,Pasadena,91107,Vehicle,Trucks,nan
195,COMP‐46448,nan,nan,nan,nan,nan,11/7/2019 0:00
196,COMP‐46449,nan,Los Angeles,90026,nan,nan,11/8/2019 8:00
197,COMP‐46450,nan,Los Angeles,90012,Vehicle,Cars,10/18/2019 13:00
198,COMP‐46453,nan,Brisbane,94005,Stationary Source,Smoke,11/9/2019 15:00
199,COMP‐46456,nan,Bakersfield,93308,nan,nan,11/12/2019 7:00
200,COMP‐46457,nan,Sacramento,95828,Vehicle,Trucks,nan
201,COMP‐46458,nan,South San Francisco,94080,Stationary Source,Odors,11/11/2019 8:00
202,COMP‐46459,nan,Manteca,95337,Stationary Source,Painting,11/12/2019 0:00
203,COMP‐46461,100 Sunset Avenue,Los Angeles,90291,Stationary Source,Dust,nan
204,COMP‐46462,nan,Redding,nan,Stationary Source,Odors,11/15/2019 12:00
205,COMP‐46464,17 Sun Terrace,Laguna Niguel,92677,nan,nan,11/8/2019 18:00
206,COMP‐46466,nan,nan,nan,Stationary Source,Odors,11/11/2019 11:00
207,COMP‐46468,1801 North Olive Avenue,Turlock,95382,Vehicle,Trucks,nan
208,COMP‐46469,1455 The Alameda,San Jose,95126,Stationary Source,nan,11/12/2019 16:30
209,COMP‐46470,45950 California 74,Palm Desert,92260,nan,nan,11/8/2019 0:00
210,COMP‐46475,14 Carrie Ann Lane,Penn Valley,95946,Stationary Source,Odors,nan
211,COMP‐46478,nan,San Francisco,nan,Stationary Source,Odors,11/12/2019 12:00
212,COMP‐46480,nan,nan,nan,Stationary Source,Dust,11/12/2019 12:00
213,COMP‐46482,nan,nan,nan,Stationary Source,Gas Stations,11/12/2019 12:00
214,COMP‐46485,nan,nan,nan,Vehicle,Trucks,11/14/2019 0:00
215,COMP‐46492,3949 39th Avenue,Oakland,94619,Stationary Source,Odors,9/5/2019 10:30
216,COMP‐46493,6375 North State Street,Calpella,95418,Stationary Source,Smoke,nan
217,COMP‐46494,nan,Searles Valley,93562,nan,nan,11/14/2019 0:00
218,COMP‐46496,5000 MacArthur Boulevard,Oakland,94613,Stationary Source,Odors,11/14/2019 23:00
219,COMP‐46497,1056 70th Avenue,Oakland,94621,Stationary Source,Odors,11/15/2019 8:00
220,COMP‐46502,5297 Belvedere Street,Oakland,94601,Stationary Source,Odors,11/14/2019 0:00
221,COMP‐46504,4145 Joy Lane,Carmichael,95608,Stationary Source,Smoke,11/15/2019 18:00
222,COMP‐46505,2557 West Winton Avenue,Hayward,94545,Stationary Source,Other Stationary Sources,11/16/2019 0:00
223,COMP‐46506,9813 Glenoaks Boulevard,Los Angeles,91352,Stationary Source,Dust,11/18/2019 12:00
224,COMP‐46509,15505 East Lincoln Avenue,Orange,92865,Stationary Source,Dust,nan
225,COMP‐46510,15505 East Lincoln Avenue,Orange,92865,Stationary Source,Dust,nan
226,COMP‐46511,15505 East Lincoln Avenue,Orange,92865,Stationary Source,Dust,nan
227,COMP‐46512,3010 North Shadyvale Street,Orange,92865,Stationary Source,Dust,nan
228,COMP‐46513,Lincoln and Batavia,Orange,92806,Stationary Source,Odors,nan
229,COMP‐46514,nan,Arcadia,91007,Vehicle,Trucks,nan
230,COMP‐46515,2525 Monte Christo Road,Bakersfield,93308,Stationary Source,Other Stationary Sources,nan
231,COMP‐46517,15505 East Lincoln Avenue,Orange,92865,Stationary Source,Dust,nan
232,COMP‐46519,3342 West Cerritos Avenue,Los Alamitos,90720,Stationary Source,Odors,nan
233,COMP‐46521,4041 Ibis Street,San Diego,92103,nan,nan,nan
234,COMP‐46522,2307 San Pedro Street,Los Angeles,90011,Stationary Source,Dust,nan
235,COMP‐46525,nan,Oakland,94621,Stationary Source,Odors,11/14/2019 13:00
236,COMP‐46526,nan,Oakland,94621,Stationary Source,Odors,11/14/2019 13:00
237,COMP‐46527,nan,Oakland,94621,Stationary Source,Odors,11/14/2019 13:00
238,COMP‐46528,nan,Oakland,94621,Stationary Source,Odors,11/14/2019 13:00
239,COMP‐46529,nan,Oakland,94621,Stationary Source,Odors,11/14/2019 13:00
240,COMP‐46531,nan,Oakland,nan,Stationary Source,Odors,11/11/2019 9:50
241,COMP‐46532,2307 San Pedro Street,Los Angeles,90011,Stationary Source,Dust,nan
242,COMP‐46533,nan,Oakland,nan,Stationary Source,Odors,11/19/2019 7:00
243,COMP‐46534,nan,nan,nan,Vehicle,Trucks,10/8/2019 15:00
244,COMP‐46536,9488 Valley Boulevard,Rosemead,91770,Stationary Source,Odors,nan
245,COMP‐46537,12851 Island Circle,Clearlake Oaks,95423,Stationary Source,Smoke,nan
246,COMP‐46542,1 Pine Woods Lane,Sutter Creek,95685,Stationary Source,Odors,11/19/2019 20:30
247,COMP‐46545,1905 Garnet Avenue,San Diego,92109,Vehicle,Other Vehicles,11/15/2019 0:00
248,COMP‐46547,nan,nan,nan,nan,nan,nan
249,COMP‐46549,4338 East Grant Avenue,Fresno,93702,Stationary Source,Asbestos,11/18/2019 22:00
250,COMP‐46550,4950 Hacienda Drive,Dublin,94568,Vehicle,Trucks,11/21/2019 12:00
251,COMP‐46551,3883 Aliso Avenue,Oakland,94619,Stationary Source,Odors,11/20/2019 10:00
252,COMP‐46552,Mace Blvd from Montgomery Ave. to I 80 on ramp Davis Ca,Davis,95618,Vehicle,Cars,2/1/2018 0:00
253,COMP‐46553,nan,nan,nan,Stationary Source,Gas Stations,11/22/2019 12:00
254,COMP‐46554,nan,nan,nan,Stationary Source,Odors,11/22/2019 12:00
255,COMP‐46556,nan,nan,nan,nan,nan,11/22/2019 12:00
256,COMP‐46558,900 Dell Avenue,Campbell,95008,Stationary Source,nan,11/2/2019 14:00
257,COMP‐46560,nan,Milpitas,95035,nan,nan,11/22/2019 19:00
258,COMP‐46561,270 Tamarisk Circle,Suisun City,94585,nan,nan,11/23/2019 4:30
259,COMP‐46563,nan,Bakersfield,93313,Stationary Source,Dust,11/23/2019 13:49
260,COMP‐46565,5 Saint Ann Drive ,Santa Barbara,93109,Stationary Source,Dust,11/23/2019 0:00
261,COMP‐46566,3440 Charito Lane ,Cameron Park,95682,Stationary Source,Painting,11/24/2019 13:00
262,COMP‐46568,nan,nan,nan,Vehicle,Trucks,11/24/2019 0:00
263,COMP‐46569,nan,Redding,96001,Vehicle,Trucks,nan
264,COMP‐46570,7500 Mission Gorge Road ,San Diego,92120,Stationary Source,Odors,nan
265,COMP‐46571,24310 August Avenue ,Turlock,95380,Stationary Source,Smoke,11/25/2019 0:00
266,COMP‐09165,Silver Fork Rd ,Kyburz,95720,Vehicle,nan,5/31/2016 17:00
267,COMP‐09173,2520 Pioneer Avenue,Vista,92081,Vehicle,Cars,6/1/2016 6:00
268,COMP‐09180,432 North Zona Court,Long Beach,90802,nan,nan,5/27/2016 16:00
269,COMP‐09207,1259 Washington St,Denver,80203,nan,nan,6/1/2016 17:00
270,COMP‐09274,18206 Victory Blvd,Los Angeles,91335,Vehicle,Cars,nan
271,COMP‐09285,18026 Doty Ave,Torrance,90504,Stationary Source,Other Stationary Sources,6/5/2016 17:00
272,COMP‐09297,nan,Watsonville,nan,Vehicle,Cars,6/5/2016 17:00
273,COMP‐09310,4312 Livermore Pl,Cypress,90630,nan,nan,6/6/2016 5:00
274,COMP‐09326,5800 Kanan Rd,Agoura Hills,91301,Vehicle,Cars,6/6/2016 17:00
275,COMP‐09370,920 W.Poplar Street,Stockton,95203,Vehicle,Other Vehicles,nan
276,COMP‐09382,19300 Santa Cruz Hwy,Los Gatos,95033,Vehicle,Cars,6/5/2016 8:30
277,COMP‐09390,1101 South Prospect Avenue,Redondo Beach,90277,Vehicle,Other Vehicles,6/8/2016 9:30
278,COMP‐09404,6623 E Huntsman Ave,Selma,93662,Vehicle,Trucks,nan
279,COMP‐09408,nan,Santa Ana,92705,Stationary Source,Other Stationary Sources,nan
280,COMP‐09413,nan,Olivehurst,95961,Vehicle,Other Vehicles,6/1/2016 17:00
281,COMP‐09450,nan,Seal Beach,90740,Vehicle,Cars,nan
282,COMP‐09453,nan,Newport Beach,92663,Stationary Source,Odors,6/14/2016 17:00
283,COMP‐09492,nan,San Ramon,94583,Vehicle,nan,6/16/2016 1:00
284,COMP‐09502,nan,Redondo Beach,90277,Stationary Source,Odors,6/20/2016 0:00
285,COMP‐09504,1 Woolsey Canyon,Canoga Park,91304,Stationary Source,nan,6/19/2016 17:00
286,COMP‐09513,1409 4th St,Coronado,92118,Vehicle,Cars,6/20/2016 17:00
287,COMP‐09522,1428 West Mission Road,Escondido,92029,Stationary Source,nan,6/12/2016 13:15
288,COMP‐09534,nan,nan,nan,nan,nan,6/20/2016 17:00
289,COMP‐09536,21850 Bear Creek Road,Los Gatos,95033,Stationary Source,nan,nan
290,COMP‐09541,8334‐8406 Etiwanda Avenue,Rancho Cucamonga,91739,Stationary Source,Odors,6/21/2016 17:00
291,COMP‐09549,215 Moffett Park Drive,Sunnyvale,94089,nan,nan,nan
292,COMP‐09551,12811 6th St,Rancho Cucamonga,91739,Stationary Source,Odors,2/29/2016 16:00
293,COMP‐09612,southwest of my house: 3969 Rancho Del Oro Dr,Riverside,92505,Stationary Source,Odors,nan
294,COMP‐09622,740 Truman Street,San Fernando,91340,Vehicle,Cars,6/22/2016 8:00
295,COMP‐09624,460 Golden Ave,Long Beach,90802,Stationary Source,Odors,6/26/2016 17:00
