favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
5,Twitter for iPhone,Glad to be in Trojan Country today tailgating with fans here for Troy University's Homecoming! @TROYUNews http://t.co/bIcApn7c2n,,False,Sat Oct 11 17:27:28 +0000 2014,3,520989072119328768
4,Twitter for iPhone,Meteorologists from @ALNewsNetwork @wsfa12news &amp; @NWSBirmingham are at the Capitol to program weather radios until 1p http://t.co/aQeomP5X26,,False,Fri Sep 12 16:04:36 +0000 2014,2,510458968368758784
7,Twitter for iPhone,"Today I helped cut the ribbon on the new Decatur Beltline, which will reduce congestion along Hwy 67. http://t.co/DDPIGBx9Q6",,False,Mon Sep 08 19:07:32 +0000 2014,1,509055452936949760
13,Twitter for iPhone,"Alabama ranks #1 nationally in percent increases in qualifying scores from 2008-2014 in AP Math, Science &amp; English exams.",,False,Wed Aug 27 15:11:21 +0000 2014,15,504647360908369921
3,TweetDeck,This morning I swore-in Fitzgerald Washington as our new Commissioner of @al_labor  Details: http://t.co/YMqCfa7ZO6 http://t.co/aSfcpe2Ieh,,False,Mon Aug 04 14:28:09 +0000 2014,3,496301567768006656
6,Hootsuite,"We really appreciate the hospitality of the fine folks in Winfield, we had a great time at #muleday http://t.co/HTzYf5WbJI",,False,Sat Sep 27 17:17:08 +0000 2014,6,515913040785846272
5,Twitter for iPhone,"I'm up next, live on @wvuatv #CTKO I'm talking Bama Football with @garylharris1",,False,Sat Oct 18 16:06:56 +0000 2014,1,523505517445275648
2,TweetDeck,I am concerned about the EPA's June 2 proposal for reducing carbon dioxide emissions at existing power plants under the Clean Air Act.,,False,Wed Sep 10 19:31:40 +0000 2014,1,509786304314638336
3,Twitter for iPad,Dianne &amp; I are saddened to hear about the death of Paul Hubbert. My full statement can be found here: http://t.co/8MqsYo7NMc #alpolitics,,False,Wed Oct 15 01:02:13 +0000 2014,7,522190676755492864
3,Twitter for iPhone,The Yellow Dot program run by @ADECA helps provide vital medical information to first responders in case of an accident.,,False,Fri Oct 03 15:10:22 +0000 2014,3,518055463037198337
0,Hootsuite,CBC INGS America is manufacturing plastic molded  &amp; metal coated automotive parts for a company located in Muscle Shoals.,,False,Wed Sep 10 21:40:24 +0000 2014,0,509818699147386880
6,Twitter for iPhone,Headed to Cullman today for an exciting expansion announcement! Details coming soon.,,False,Mon Sep 08 14:07:53 +0000 2014,4,508980044371623936
1,Twitter for iPhone,Dianne and I have met some wonderful people visiting Winfield for the 40th Anniversary of the Mule Day festival!,,False,Sat Sep 27 16:24:45 +0000 2014,0,515899854955216897
2,TweetDeck,I want to thank Rosemary Elebash who has agreed to chair the Alabama Small Business Commission and Advisory Committee.,,False,Mon Sep 15 16:25:34 +0000 2014,1,511551407062024192
3,Hootsuite,"It’s nice to be back in Opelika for the groundbreaking ceremony at Baxter, this company manufactures dialyzers http://t.co/dzjVrPxn0y",,False,Wed Oct 01 15:29:01 +0000 2014,2,517335381046730752
6,Twitter for iPhone,I am looking forward to recognizing Miss Homecoming today in Auburn!,,False,Sat Sep 27 19:28:22 +0000 2014,1,515946066249011200
1,TweetDeck,"We have assembled a strong group to serve on the task force, and I look forward to their recommendations for a statewide plan.",,False,Fri Aug 22 18:51:05 +0000 2014,0,502890721377288192
7,Twitter for iPhone,It is great to welcome this year's inductees into the Alabama Academy of Honor. http://t.co/isMnXiEaPc,,False,Mon Oct 27 16:08:44 +0000 2014,2,526767462948544513
4,Twitter for iPhone,I am glad to have the chance to speak to Alabama's Silver Haired Legislature this morning. http://t.co/khpdPmYS7p,,False,Tue Oct 21 14:20:02 +0000 2014,0,524565780844019713
15,Twitter for iPhone,Today we launch Atlas Alabama a website that will be a useful tool for entrepreneurs and small business owners to open or expand a business.,,False,Tue Oct 21 18:27:33 +0000 2014,20,524628068418465793
7,Twitter for iPhone,Alabama has the greatest citizens of any state. We show resilience and come back stronger after each disaster our state faces. #ReadyAL,,False,Fri Sep 12 15:45:49 +0000 2014,6,510454242336067584
2,TweetDeck,"I believe drones can benefit the state, because drones offer many advantages to help our farmers and law enforcement agencies be successful.",,False,Fri Aug 22 18:49:06 +0000 2014,1,502890219432329216
5,TweetDeck,"We have made substantial progress in the state’s commitment to repaying the fund, thanks to an improving economy and stronger revenues.",,False,Thu Oct 02 14:24:38 +0000 2014,0,517681568119549952
0,TweetDeck,Bring your weather radios to the Capitol Auditorium today from 11-1p to be programmed by meteorologists from @wsfa12news &amp; @ALNewsNetwork,,False,Fri Sep 12 14:31:35 +0000 2014,4,510435558171348992
7,TweetDeck,I has glad to meet Gabe Griffin and his @Ride4Gabe group bringing awareness to Duchenne muscular dystrophy. Video: http://t.co/aByu7ZzMm9,,False,Mon Aug 11 20:07:17 +0000 2014,13,498923631154823168
3,TweetDeck,"ICYMI: Alabama Small Business Commission Holds First Meeting.
Details: http://t.co/WW56gy059B",,False,Tue Oct 21 21:30:14 +0000 2014,2,524674044403003392
1,TweetDeck,Labor Day weekend is here and  @ALLAWENF has tips to keep your holiday safe. Details: http://t.co/AVYFLuOdAc,,False,Fri Aug 29 18:48:36 +0000 2014,5,505426807886479360
1,TweetDeck,Alabama's August Unemployment Rate is 6.9%. Details: http://t.co/Yyo4ssGslK,,False,Fri Sep 19 13:01:13 +0000 2014,3,512949532892471296
4,TweetDeck,I am honored to speak with Alabama probate judges this morning on issues impacting our state. http://t.co/4we7k5e3Xi,,False,Mon Aug 11 15:10:22 +0000 2014,5,498848907892625408
0,Twitter for iPhone,@FirstLadyDB meeting the Webb family in Winfield! http://t.co/VCOhvJ5ssB,,False,Sat Sep 27 16:49:43 +0000 2014,0,515906139629047808
9,TweetDeck,The Alabama Small Business Commission's website @AtlasAlabama will provide owners with forms &amp; needed links. Link: http://t.co/KiqwgPgQRl,,False,Tue Oct 21 21:31:08 +0000 2014,1,524674269783932928
3,Twitter for iPhone,You can see the report and details about the Alabama Veterans Network at the following link: http://t.co/uklht2LV0e,,False,Fri Oct 24 14:07:21 +0000 2014,3,525649752827105282
10,Twitter for iPhone,"I hope this is the start of a long relationship between Alabama, @RTJGolf &amp; the @PGATOUR http://t.co/jMwAbay8F5",,False,Mon Aug 11 21:08:23 +0000 2014,3,498939007028703232
3,Hootsuite,I enjoyed the opportunity to speak at the 7th annual Southern Automotive Conference. http://t.co/niov9ZMlha,,False,Fri Oct 10 15:15:46 +0000 2014,2,520593539210940417
3,TweetDeck,Alabama’s Unemployment Rate Drops to 6.6%. Details: http://t.co/VffuPTyowv,,False,Fri Oct 17 13:08:56 +0000 2014,4,523098336694243331
5,TweetDeck,"Today I announced new online training for mandated reporters of child abuse and neglect.
Details: http://t.co/g3qdTewqvc",,False,Wed Sep 24 22:31:31 +0000 2014,5,514904992378257410
2,TweetDeck,Good news for Brewton. @GeorgiaPacific investing $375 million in an energy improvement project at its mill.  Details: http://t.co/XxnYXlBWNb,,False,Tue Aug 05 20:58:56 +0000 2014,7,496762298762264576
3,Twitter for iPhone,I spent this morning checking on my 75 Congo watermelons. Now I'm ready to cut this one up and eat it. http://t.co/LhjEJ7eXJh,,False,Sat Aug 09 19:03:42 +0000 2014,0,498182853298225153
